length(m),weight(kg)
0.5000367,1.3657173
0.5000476,1.4775817
0.51390087,1.426382
0.5208201,1.3245109
0.52081017,1.222816
0.5208558,1.6906126
0.53094543,1.8022207
0.5309127,1.4666275
0.5296479,1.4158121
0.54035553,1.4053704
0.5403605,1.4562178
0.54665077,1.3645322
0.5497984,1.3441132
0.56428158,1.2928973
0.56428654,1.3437449
0.5718406,1.2927052
0.54792152,1.4763646
0.55170105,1.4762685
0.55045013,1.5678259
0.54289207,1.5781876
0.5403724,1.5782517
0.54542763,1.7408354
0.55046997,1.7712158
0.5529857,1.7304738
0.55675625,1.6388522
0.5573812,1.5879887
0.56052883,1.5675697
0.54170265,2.3002536
0.55115047,2.2898438
0.55114056,2.188149
0.55113064,2.086454
0.55175064,1.9847431
0.56182835,1.9743173
0.56181843,1.8726225
0.56054867,1.7709596
0.5605457,1.7404511
0.5636953,1.740371
0.5681087,1.7809368
0.57125435,1.7401788
0.56873367,1.7300735
0.56809483,1.638564
0.57124443,1.6384839
0.57123848,1.577467
0.58635258,1.5364046
0.58069717,1.6789217
0.57755154,1.7196797
0.58322678,1.7805525
0.58637936,1.8109809
0.58638332,1.8516589
0.5926855,1.8820072
0.59708897,1.8208781
0.60274834,1.7190391
0.60716274,1.7697744
0.61031136,1.759525
0.61029945,1.637491
0.57378296,1.8316402
0.5794532,1.8416655
0.5706413,1.9130762
0.5700173,1.9741092
0.5706532,2.03511
0.57316395,1.9435207
0.57757633,1.973917
0.5838666,1.8822315
0.58136578,2.0755157
0.5807299,2.014515
0.58514133,2.0347416
0.5851314,1.9330468
0.5719289,2.19779
0.5807666,2.3907862
0.5807567,2.289091
0.5839033,2.2585025
0.586421,2.2380996
0.58830185,2.146526
0.59145542,2.187124
0.59586983,2.2378592
0.6027999,2.2478526
0.60468372,2.1867876
0.5996404,2.1462379
0.59774864,2.125947
0.59207344,2.065074
0.5920675,2.0040572
0.5920645,1.9735487
0.59710384,1.9734205
0.5983637,1.9733886
0.6040429,2.0749393
0.60529778,2.0240598
0.611597,2.0238996
0.61851715,1.932198
0.62732018,1.769262
0.63238533,2.0335407
0.6116079,2.1357641
0.61224377,2.196765
0.61916492,2.115233
0.62168957,2.1660163
0.62169254,2.1965249
0.61917583,2.2270973
0.61729004,2.2678232
0.609733,2.2883544
0.60155396,2.3902576
0.60093594,2.5123074
0.6072272,2.4307914
0.6116317,2.3798318
0.6116436,2.5018656
0.6141633,2.5018017
0.6141593,2.4611237
0.61730495,2.4203656
0.617296,2.3288403
0.62108147,2.3897612
0.6242261,2.3388336
0.62298016,2.4812386
0.6192066,2.5423515
0.62487587,2.5422075
0.6198524,2.7050474
0.61166443,2.715425
0.60222454,2.8071907
0.62176197,2.908389
0.6318407,2.908133
0.63182087,2.7047431
0.63686024,2.7046149
0.63244682,2.6640491
0.6324389,2.582693
0.6305422,2.5115547
0.63179012,2.389489
0.63809525,2.4503458
0.6431336,2.440048
0.65194756,2.3889763
0.6632911,2.4395356
0.66329605,2.490383
0.6418877,2.582453
0.6450522,2.7349153
0.6431693,2.8061497
0.6532481,2.8058934
0.65323814,2.7041986
0.6595423,2.754886
0.6652066,2.7038944
0.6847361,2.7237368
0.6778229,2.8866248
0.6746742,2.8968744
0.66901985,3.049561
0.675331,3.1714346
0.67784966,3.1612012
0.69045204,3.2015588
0.7137154,2.7535086
0.7137322,2.92639
0.73390854,3.1190977
0.7037022,3.4249513
0.7037131,3.5368156
0.6936433,3.6285973
0.68860886,3.6795728
0.6734849,3.6189404
0.6533433,3.7821646
0.7207189,3.5160444
0.7333222,3.5665715
0.75474846,3.6575525
0.73459694,3.7190819
0.7346039,3.7902682
0.72389824,3.821049
0.7239181,4.024439
0.7383933,3.8918672
0.75414635,3.9423141
0.7333778,4.136063
0.7333868,4.2275887
0.73339966,4.3597918
0.7441529,4.817147
0.7642944,4.6539226
0.77435234,4.440107
0.7743474,4.3892593
0.78506096,4.4398346
0.7794135,4.6637073
0.7781775,4.9078074
0.7926676,4.927778
0.8147773,5.5678954
0.8267398,5.506574
0.8576019,5.4651113
0.8545129,6.0855303
0.85835785,6.756621
